distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,fuel_consumed,cost_of_trip
2.4,9.0,26,20.0,10,SP98,0,0,0,0.21599999999999997,0.4793039999999999
4.9,6.3,26,20.0,10,SP98,0,0,0,0.30870000000000003,0.6850053
18.1,3.6,36,20.0,19,SP98,0,0,0,0.6516000000000001,1.4459004
25.9,3.7,39,20.0,21,SP98,0,0,0,0.9582999999999999,2.1264676999999996
1.3,11.5,21,20.0,10,SP98,0,0,0,0.14950000000000002,0.33174050000000005
14.1,5.0,22,20.0,12,SP98,0,0,0,0.705,1.5643949999999998
13.4,5.5,31,20.0,9,SP98,0,0,0,0.737,1.635403
6.4,4.7,33,20.0,8,SP98,0,0,0,0.3008,0.6674751999999999
12.9,4.5,42,20.0,13,SP98,0,0,0,0.5805,1.2881295
12.1,4.4,33,22.5,5,SP98,0,0,0,0.5324,1.1813955999999999
15.7,4.1,32,22.5,13,SP98,0,0,0,0.6436999999999999,1.4283702999999999
16.2,4.4,26,22.5,11,SP98,0,0,0,0.7128,1.5817032
12.8,4.6,22,22.5,12,SP98,0,0,0,0.5888,1.3065471999999998
19.0,4.4,58,22.5,17,SP98,0,0,1,0.8360000000000001,1.855084
29.0,4.0,27,22.5,12,SP98,0,0,0,1.16,2.5740399999999997
12.1,5.0,32,22.5,9,SP98,0,0,0,0.605,1.3424949999999998
12.3,5.2,55,22.5,10,SP98,0,0,0,0.6396000000000001,1.4192724
24.8,4.0,56,22.5,11,SP98,0,0,0,0.992,2.2012479999999996
12.9,5.1,34,22.5,8,SP98,0,1,0,0.6578999999999999,1.4598800999999997
11.8,4.5,39,22.5,3,SP98,0,0,0,0.531,1.178289
31.4,4.6,62,22.5,11,SP98,0,0,0,1.4443999999999997,3.205123599999999
19.0,5.1,53,22.5,4,SP98,0,1,0,0.9689999999999999,2.1502109999999997
13.0,5.7,38,22.5,3,SP98,1,1,0,0.7410000000000001,1.644279
11.8,4.8,42,22.5,2,SP98,0,0,0,0.5664,1.2568416
13.0,6.2,32,22.5,4,SP98,0,0,0,0.806,1.788514
11.8,5.0,43,22.5,1,SP98,0,0,0,0.59,1.3092099999999998
27.1,5.0,69,22.5,8,SP98,0,0,0,1.355,3.0067449999999996
5.2,4.6,38,22.5,8,SP98,0,0,0,0.23919999999999997,0.5307848
19.0,4.5,29,22.5,10,E10,0,0,0,0.855,1.6937550000000001
12.4,4.8,38,22.5,1,E10,0,0,0,0.5952,1.1790912
25.2,5.0,55,22.5,9,E10,0,0,0,1.26,2.49606
14.3,4.8,36,22.5,10,E10,0,0,0,0.6864,1.3597584
11.8,4.6,40,22.5,2,E10,0,0,0,0.5428000000000001,1.0752868000000002
16.9,4.5,48,22.5,9,E10,0,0,1,0.7605,1.5065505
12.4,4.6,55,22.5,11,E10,0,0,1,0.5704,1.1299624000000001
17.4,4.4,36,22.5,12,E10,0,0,1,0.7656000000000001,1.5166536000000002
9.2,5.7,33,22.5,8,E10,0,1,0,0.5244,1.0388364
12.3,5.8,54,22.5,10,E10,0,1,0,0.7134,1.4132454
13.0,5.9,32,22.5,10,E10,0,0,0,0.767,1.519427
11.8,6.1,16,22.5,6,E10,0,1,0,0.7198,1.4259238
13.0,5.7,37,22.5,11,E10,0,1,0,0.7410000000000001,1.4679210000000003
12.3,5.0,42,22.5,10,E10,0,0,0,0.615,1.218315
12.3,5.2,57,22.5,15,E10,0,0,1,0.6396000000000001,1.2670476000000002
12.5,4.3,57,22.5,16,E10,0,0,1,0.5375,1.0647875
31.5,4.1,30,22.5,16,E10,0,0,1,1.2914999999999999,2.5584615
11.8,4.4,42,22.5,8,E10,0,0,0,0.5192000000000001,1.0285352000000003
24.9,4.5,53,22.5,14,E10,0,0,0,1.1205,2.2197105
17.0,3.9,46,22.5,14,E10,0,0,1,0.6629999999999999,1.3134029999999999
2.0,8.1,20,22.5,14,E10,0,0,0,0.162,0.32092200000000004
11.8,4.4,33,22.5,8,E10,0,0,0,0.5192000000000001,1.0285352000000003
7.4,5.0,31,22.5,12,E10,0,0,0,0.37,0.73297
12.4,4.7,55,22.5,14,E10,0,0,1,0.5828,1.1545268
2.0,6.0,22,22.5,14,E10,0,0,0,0.12,0.23772000000000001
14.0,5.0,41,22.5,8,E10,0,0,0,0.7,1.3867
25.7,5.0,45,22.5,7,E10,0,0,0,1.285,2.545585
24.5,3.9,50,21.9,15,E10,0,0,1,0.9555,1.8928455000000002
11.8,4.5,28,22.5,12,E10,0,0,0,0.531,1.051911
4.1,5.4,24,22.5,13,E10,0,0,0,0.2214,0.4385934
4.2,5.6,29,22.0,17,E10,0,0,0,0.2352,0.4659312
4.2,3.9,29,22.0,18,E10,0,0,1,0.1638,0.3244878
16.0,4.0,40,22.0,10,E10,0,0,0,0.64,1.26784
22.9,4.0,29,21.9,21,E10,0,0,0,0.9159999999999999,1.8145959999999999
16.0,3.8,42,21.9,8,E10,0,0,0,0.608,1.204448
15.4,4.5,50,22.0,14,E10,0,0,0,0.693,1.372833
16.0,3.8,41,22.0,12,E10,0,0,0,0.608,1.204448
4.2,5.6,32,22.0,18,E10,0,0,0,0.2352,0.4659312
101.9,5.2,75,22.0,18,E10,0,0,0,5.2988,10.4969228
93.9,4.8,88,23.0,18,E10,1,0,1,4.5072,8.9287632
25.7,4.9,50,22.0,10,SP98,0,1,0,1.2593,2.7943867
16.0,4.1,40,22.0,10,SP98,0,0,0,0.6559999999999999,1.4556639999999996
16.1,4.5,32,22.0,19,SP98,0,0,0,0.7245,1.6076655
16.0,4.4,40,22.0,7,SP98,1,1,0,0.7040000000000001,1.562176
16.0,4.5,41,22.0,11,SP98,0,0,0,0.72,1.5976799999999998
24.7,4.5,26,22.0,10,SP98,0,0,0,1.1115,2.4664184999999996
16.0,3.9,42,22.0,8,SP98,0,0,0,0.624,1.3846559999999999
15.4,4.6,43,22.0,16,SP98,0,0,0,0.7083999999999999,1.5719395999999997
16.0,3.8,40,22.0,8,SP98,0,0,0,0.608,1.349152
32.1,4.5,50,22.0,16,SP98,0,0,0,1.4445000000000001,3.2053455
25.9,4.4,40,22.0,14,SP98,0,0,0,1.1396000000000002,2.5287724000000003
48.6,4.3,44,22.0,12,SP98,0,0,0,2.0898,4.637266199999999
37.2,4.0,45,22.0,20,SP98,0,0,1,1.4880000000000002,3.3018720000000004
28.8,3.9,35,22.0,15,SP98,0,0,1,1.1232,2.4923808
6.7,5.0,30,22.0,17,SP98,0,0,0,0.335,0.7433649999999999
7.4,4.1,25,22.0,18,SP98,0,0,1,0.3034,0.6732446
17.3,4.1,22,22.0,25,SP98,0,0,1,0.7092999999999999,1.5739366999999997
6.6,5.6,43,22.0,16,SP98,0,0,0,0.36959999999999993,0.8201423999999998
14.3,4.1,26,22.0,20,SP98,0,0,0,0.5862999999999999,1.3009996999999998
13.3,4.6,33,22.0,18,SP98,0,0,0,0.6118,1.3575842
8.3,4.9,26,22.0,23,SP98,0,0,0,0.40670000000000006,0.9024673000000001
12.7,4.5,39,22.0,27,SP98,0,0,1,0.5715,1.2681585
16.5,4.1,47,22.0,14,SP98,0,0,0,0.6764999999999999,1.5011534999999996
20.6,4.1,38,22.0,21,SP98,0,0,0,0.8445999999999999,1.8741673999999997
16.3,4.5,58,22.0,16,SP98,0,0,0,0.7335,1.6276365
18.7,4.2,65,25.0,18,SP98,1,0,1,0.7854000000000001,1.7428026
36.5,3.9,54,23.0,18,SP98,0,0,1,1.4235,3.1587465
19.0,5.0,35,22.0,15,SP98,1,0,1,0.95,2.10805
16.6,4.4,46,22.0,5,SP98,1,0,0,0.7304,1.6207576
29.9,4.5,32,22.0,18,SP98,1,0,0,1.3455,2.9856644999999995
16.0,3.8,42,22.0,11,SP98,0,0,0,0.608,1.349152
21.1,5.1,33,22.0,10,SP98,0,1,0,1.0761,2.3878659
16.0,3.9,40,22.0,10,SP98,0,0,0,0.624,1.3846559999999999
11.9,5.3,34,22.0,13,SP98,0,0,0,0.6307,1.3995233
10.1,4.2,35,22.0,16,SP98,0,0,0,0.4242,0.9412998
31.9,4.3,33,22.0,16,SP98,0,0,0,1.3717,3.0438023
18.7,4.0,60,22.0,13,SP98,0,0,0,0.748,1.6598119999999998
10.8,4.7,48,22.0,17,SP98,0,0,1,0.5076,1.1263644
19.8,4.0,56,22.0,17,SP98,0,0,1,0.792,1.757448
11.3,4.3,38,22.0,17,SP98,0,0,0,0.48590000000000005,1.0782121
11.5,5.3,53,22.0,15,SP98,0,0,0,0.6094999999999999,1.3524804999999998
21.4,5.2,51,22.0,13,SP98,0,0,0,1.1128,2.4693031999999997
32.0,4.9,53,22.0,15,SP98,0,0,0,1.568,3.479392
41.9,4.7,53,22.0,14,SP98,0,0,0,1.9693,4.3698767
211.0,4.6,80,22.0,20,SP98,0,0,0,9.706,21.537613999999998
216.1,5.3,90,22.0,21,SP98,0,0,1,11.453299999999999,25.414872699999997
25.5,3.6,27,22.0,27,SP98,0,0,1,0.9179999999999999,2.0370419999999996
16.6,4.2,52,22.0,15,SP98,0,1,0,0.6972000000000002,1.5470868000000002
25.9,4.1,43,22.0,24,SP98,0,0,0,1.0618999999999998,2.3563560999999993
16.5,4.0,48,22.0,15,SP98,0,0,0,0.66,1.46454
22.1,3.9,29,22.0,26,SP98,0,0,0,0.8619,1.9125561
16.6,3.7,49,22.0,17,E10,0,0,0,0.6142000000000001,1.2167302000000002
15.4,4.5,43,22.0,24,E10,0,0,0,0.693,1.372833
16.5,3.9,43,22.0,17,E10,0,0,0,0.6435,1.2747735
15.4,5.1,21,22.0,24,E10,0,0,0,0.7853999999999999,1.5558773999999997
18.4,4.2,59,22.0,24,E10,0,0,0,0.7728,1.5309168000000002
39.5,4.2,58,22.0,25,E10,0,0,0,1.659,3.2864790000000004
21.5,4.8,47,25.0,27,E10,1,0,1,1.032,2.044392
4.8,4.7,26,25.0,18,E10,0,0,0,0.2256,0.4469136
100.9,4.7,87,23.5,22,E10,0,0,0,4.7423,9.3944963
129.7,4.6,58,24.0,21,E10,0,0,0,5.966199999999999,11.819042199999998
